1
		Rooms	Brand	Parent Company	Property Name	Market Name	Submarket Name	Hotel Class	Scale	Operation Type	Constr Status	Operational Status	Expansion Rooms	Expansion Status Month	Expansion Status Year	Expansion Status	Property Address	City	State	Zip	Year Built	Year Renovated	Hotel Open Date	Data Participation	Mtg Rooms	Total Mtg Space	Max Contig Mtg Space	Hotel Location Type	Secondary Type	All-Inclusive	All-Suites	Primary Corridors	Number Of Stories	Number Of Parking Spaces	Parking Spaces/Room	FEMA Map Date	FEMA Map Identifier	FIRM ID	FIRM Panel Number	In SFHA	Floodplain Area	Owner Name	Owner Phone	Owner Contact	Owner Address	Owner City State Zip	Property Location	True Owner Address	True Owner City State Zip	True Owner Name	True Owner Contact	True Owner Phone
		801	Hilton	Hilton Worldwide	Hilton Austin	Austin, TX	Austin CBD	Upper Upscale	Upper Upscale	Chain Management	Existing	Open					500 E 4th St	Austin	TX	78701	2003	2016	12/01/2003	Monthly & Daily	40	112,183	25,545	Urban	Hotel	No	No	Interior	26	148	0.185	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	Austin Convention Center	5124044111	Mark Tester	500 E Cesar Chavez St	Austin, TX 78701-4121		500 E Cesar Chavez St	Austin, TX 78701-4121	Austin Convention Center	Mark Tester	5124044111
		159	Curio Collection by Hilton	Hilton Worldwide	The Statler Dallas, Curio Collection by Hilton	Dallas, TX	Dallas CBD/Market Center	Upper Upscale	Upper Upscale	Franchise	Existing	Open					1914 Commerce St	Dallas	TX	75201	1956	2017	10/01/2017	Monthly & Daily	10	26,266	11,500	Urban	Hotel	No	No	Interior	19	850	5.346	08/23/2001	48113C0345J	48113C	0345J	No	100-year and 500-year Floodplain	J. Kyle Bass	2143478050	J Kyle Bass	2305 Cedar Springs Rd Suite # 400	Dallas, TX 75201-1854		2305 Cedar Springs Rd Suite # 400	Dallas, TX 75201-1854	J. Kyle Bass	J Kyle Bass	2143478050
		105	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites Fort Worth-West-I-30	Fort Worth/Arlington, TX	Fort Worth West	Upper Midscale	Upper Midscale	Franchise	Existing	Open					2700 Green Oaks Rd	Fort Worth	TX	76116	2007	2023	11/01/2007	Monthly & Daily	2	1,749	1,749	Suburban	Hotel	No	No	Interior	4	107	1.019	03/21/2019	48439C0285L	48439C	0285L	No	100-year and 500-year Floodplain	Whitestone Hospitality	9726008162		1200 W Walnut Hill Ln Suite # 2525	Irving, TX 75038-3029		1200 W Walnut Hill Ln Suite # 2525	Irving, TX 75038-3029	Whitestone Hospitality		9726008162
		119	Hampton by Hilton	Hilton Worldwide	Hampton Inn Houston I-10W Energy Corridor	Houston, TX	Katy Freeway West	Upper Midscale	Upper Midscale	Franchise	Existing	Open					11333 Katy Fwy	Houston	TX	77079	1995	2018	12/22/1995	Monthly & Daily	1	400	400	Suburban	Hotel	No	No	Interior	4			11/15/2019	48201C0640M	48201C	0640M	No	100-year and 500-year Floodplain	Liem T Dang	8322281713		9518 Shadow Gate Ln	Houston, TX 77040		9518 Shadow Gate Ln	Houston, TX 77040	Liem T Dang		8322281713
		123	Hampton by Hilton	Hilton Worldwide	Hampton by Hilton Inn & Suites Waco-South	Texas Central	Waco	Upper Midscale	Upper Midscale	Franchise	Existing	Open					2501 Marketplace Dr	WACO	TX	76711	2008		03/01/2008	Monthly	3	1,530	1,242	Urban	Hotel	No	No	Interior	4			12/20/2019	48309C0369D	48309C	0369D	No	100-year and 500-year Floodplain	Starwood Capital Group	3056955200		591 W Putnam Ave Suite # 700	Greenwich, CT 06830-6005		591 W Putnam Ave Suite # 700	Greenwich, CT 06830-6005	Starwood Capital Group		3056955200
		98	Hilton Garden Inn	Hilton Worldwide	Hilton Garden Inn Fort Worth/Fossil Creek	Fort Worth/Arlington, TX	Fort Worth North	Upscale	Upscale	Franchise	Existing	Open					4400 North Fwy	Fort Worth	TX	76137	1998	2008	08/01/1999	Monthly & Daily	4	2,610	1,075	Suburban	Hotel	No	No	Interior	3	125	1.276	03/21/2019	48439C0185L	48439C	0185L	No	100-year and 500-year Floodplain	Whitestone Hospitality	9726008162		1200 W Walnut Hill Ln Suite # 2525	Irving, TX 75038-3029		1200 W Walnut Hill Ln Suite # 2525	Irving, TX 75038-3029	Whitestone Hospitality		9726008162
		74	Homewood Suites by Hilton	Hilton Worldwide	Homewood Suites by Hilton Houston West Energy Corridor	Houston, TX	Katy Freeway West	Upscale	Upscale	Franchise	Existing	Open					14450 Park Row	Houston	TX	77079	2006		08/01/2007	Monthly & Daily	1	945	945	Suburban	Hotel	No	Yes	Interior	4	135	1.824	11/15/2019	48201C0620M	48201C	0620M	No	100-year and 500-year Floodplain	Skip Fehse		Skip Fehse	23300 Telegraph Rd	Southfield, MI 48034-4120		23300 Telegraph Rd	Southfield, MI 48034-4120	Skip Fehse	Skip Fehse
		122	Hampton by Hilton	Hilton Worldwide	Hampton Inn & Suites San Antonio Riverwalk	San Antonio, TX	San Antonio CBD	Upper Midscale	Upper Midscale	Franchise	Existing	Open					118 Soledad St	San Antonio	TX	78205-2207	2019		01/01/2019	Monthly & Daily				Urban	Hotel	No	No	Interior	9			09/29/2010	48029C0415G	48029C	0415G	No	100-year and 500-year Floodplain	Vista Host, Inc	7132675800		10370 Richmond Ave Suite # 150	Houston, TX 77042-4141		10370 Richmond Ave Suite # 150	Houston, TX 77042-4141	Vista Host, Inc		7132675800
		297	Hilton	Hilton Worldwide	Hilton Houston Westchase	Houston, TX	Katy Freeway West	Upper Upscale	Upper Upscale	Franchise	Existing	Open					9999 Westheimer Rd	Houston	TX	77042	1980	2026	11/01/1980	Monthly & Daily	8	12,578	4,992	Suburban	Hotel	No	No	Interior	13	391	1.316	04/02/2014	48157C0175L	48201C	0175L	No	100-year and 500-year Floodplain	Escalera Capital	5129177247		9000 Tesoro Dr Suite # 300	San Antonio, TX 78217    		9000 Tesoro Dr Suite # 300	San Antonio, TX 78217    	Escalera Capital		5129177247
		118	Hampton by Hilton	Hilton Worldwide	Hampton Inn Waco	Texas Central	Waco	Upper Midscale	Upper Midscale	Franchise	Existing	Open					4259 Interstate 35 N	Waco	TX	76705-7021	1997	2020	09/01/1997	Monthly & Daily	1	676	676	Suburban	Hotel	No	No	Interior	4	112	0.949	12/20/2019	48309C0380D	48309C	0380D	Yes	100-year Floodplain	Atlantic Hotels Group	4698868600		1700 Pacific Ave Suite # 1850	Dallas, TX 75201-4617		1700 Pacific Ave Suite # 1850	Dallas, TX 75201-4617	Atlantic Hotels Group		4698868600
		1012	JW Marriott	Marriott International	JW Marriott Austin	Austin, TX	Austin CBD	Luxury	Luxury	Franchise	Existing	Open					110 E 2nd St	Austin	TX	78701	2014		02/12/2015	Monthly	59	115,609	30,183	Urban	Hotel	No	No	Interior	33	471	0.465	01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	The Finley Company	5124780885		515 Congress Ave Suite # 2210	Austin, TX 78701-3504		515 Congress Ave Suite # 2210	Austin, TX 78701-3504	The Finley Company		5124780885
		296	Hyatt Place	Hyatt Corporation	Hyatt Place Austin Downtown	Austin, TX	Austin CBD	Upscale	Upscale	Franchise	Existing	Open					211 E 3rd St	Austin	TX	78701	2013		03/01/2013	Monthly & Daily	3	2,088	1,805	Urban	Hotel	No	Yes	Interior	16			01/22/2020	48453C0465K	48453C	0465K	No	100-year and 500-year Floodplain	BRE Hotels & Resorts LLC			530 Fifth Ave	New York, NY 10036-5101		530 Fifth Ave	New York, NY 10036-5101	BRE Hotels & Resorts LLC
